variable,question,value,value_label
regzip,Zip code where registered,999999,not asked
pid3,3 point party ID,1,Democrat
pid3,3 point party ID,2,Republican
pid3,3 point party ID,3,Independent
pid3,3 point party ID,4,Other
pid3,3 point party ID,5,Not sure
pid3,3 point party ID,8,skipped
pid3,3 point party ID,9,not asked
pid3_t,3 point party ID - other,NA,NA
pid7,7 point Party ID,1,Strong Democrat
pid7,7 point Party ID,2,Not very strong Democrat
pid7,7 point Party ID,3,Lean Democrat
pid7,7 point Party ID,4,Independent
pid7,7 point Party ID,5,Lean Republican
pid7,7 point Party ID,6,Not very strong Republican
pid7,7 point Party ID,7,Strong Republican
pid7,7 point Party ID,8,Not sure
pid7,7 point Party ID,9,Don't know
pid7,7 point Party ID,98,skipped
pid7,7 point Party ID,99,not asked
inputstate,State of Residence,1,Alabama
inputstate,State of Residence,2,Alaska
inputstate,State of Residence,4,Arizona
inputstate,State of Residence,5,Arkansas
inputstate,State of Residence,6,California
inputstate,State of Residence,8,Colorado
inputstate,State of Residence,9,Connecticut
inputstate,State of Residence,10,Delaware
inputstate,State of Residence,11,District of Columbia
inputstate,State of Residence,12,Florida
inputstate,State of Residence,13,Georgia
inputstate,State of Residence,15,Hawaii
inputstate,State of Residence,16,Idaho
inputstate,State of Residence,17,Illinois
inputstate,State of Residence,18,Indiana
inputstate,State of Residence,19,Iowa
inputstate,State of Residence,20,Kansas
inputstate,State of Residence,21,Kentucky
inputstate,State of Residence,22,Louisiana
inputstate,State of Residence,23,Maine
inputstate,State of Residence,24,Maryland
inputstate,State of Residence,25,Massachusetts
inputstate,State of Residence,26,Michigan
inputstate,State of Residence,27,Minnesota
inputstate,State of Residence,28,Mississippi
inputstate,State of Residence,29,Missouri
inputstate,State of Residence,30,Montana
inputstate,State of Residence,31,Nebraska
inputstate,State of Residence,32,Nevada
inputstate,State of Residence,33,New Hampshire
inputstate,State of Residence,34,New Jersey
inputstate,State of Residence,35,New Mexico
inputstate,State of Residence,36,New York
inputstate,State of Residence,37,North Carolina
inputstate,State of Residence,38,North Dakota
inputstate,State of Residence,39,Ohio
inputstate,State of Residence,40,Oklahoma
inputstate,State of Residence,41,Oregon
inputstate,State of Residence,42,Pennsylvania
inputstate,State of Residence,44,Rhode Island
inputstate,State of Residence,45,South Carolina
inputstate,State of Residence,46,South Dakota
inputstate,State of Residence,47,Tennessee
inputstate,State of Residence,48,Texas
inputstate,State of Residence,49,Utah
inputstate,State of Residence,50,Vermont
inputstate,State of Residence,51,Virginia
inputstate,State of Residence,53,Washington
inputstate,State of Residence,54,West Virginia
inputstate,State of Residence,55,Wisconsin
inputstate,State of Residence,56,Wyoming
inputstate,State of Residence,98,skipped
inputstate,State of Residence,99,not asked
region,Region,1,Northeast
region,Region,2,Midwest
region,Region,3,South
region,Region,4,West
region,Region,8,skipped
region,Region,9,not asked
ccesmodule,Team module assigned,1,UNC
ccesmodule,Team module assigned,2,GSU
ccesmodule,Team module assigned,3,UIM
ccesmodule,Team module assigned,4,CNJ
ccesmodule,Team module assigned,5,RUT
ccesmodule,Team module assigned,6,MIZ
ccesmodule,Team module assigned,7,VAN
ccesmodule,Team module assigned,8,SYR
ccesmodule,Team module assigned,9,UMS
ccesmodule,Team module assigned,10,USC
ccesmodule,Team module assigned,11,TTU
ccesmodule,Team module assigned,12,NEU
ccesmodule,Team module assigned,13,DKU
ccesmodule,Team module assigned,14,CAC
ccesmodule,Team module assigned,15,ZOU
ccesmodule,Team module assigned,16,GTN
ccesmodule,Team module assigned,17,UTA
ccesmodule,Team module assigned,18,UTB
ccesmodule,Team module assigned,19,TAM
ccesmodule,Team module assigned,20,UHO
ccesmodule,Team module assigned,21,HOO
ccesmodule,Team module assigned,22,NCW
ccesmodule,Team module assigned,23,CAR
ccesmodule,Team module assigned,24,FSU
ccesmodule,Team module assigned,25,UCI
ccesmodule,Team module assigned,26,MSL
ccesmodule,Team module assigned,27,IOW
ccesmodule,Team module assigned,28,UGA
ccesmodule,Team module assigned,29,BFL
ccesmodule,Team module assigned,30,COR
ccesmodule,Team module assigned,31,LBU
ccesmodule,Team module assigned,32,UMA
ccesmodule,Team module assigned,33,BRN
ccesmodule,Team module assigned,34,TUF
ccesmodule,Team module assigned,35,UTK
ccesmodule,Team module assigned,36,HOB
ccesmodule,Team module assigned,37,OXF
ccesmodule,Team module assigned,38,CSF
ccesmodule,Team module assigned,39,MSU
ccesmodule,Team module assigned,40,GWU
ccesmodule,Team module assigned,41,BOS
ccesmodule,Team module assigned,42,JHU
ccesmodule,Team module assigned,43,UTD
ccesmodule,Team module assigned,44,UND
ccesmodule,Team module assigned,45,BYU
ccesmodule,Team module assigned,46,AUB
ccesmodule,Team module assigned,47,CUB
ccesmodule,Team module assigned,48,NYU
ccesmodule,Team module assigned,49,UCL
ccesmodule,Team module assigned,50,YAL
ccesmodule,Team module assigned,51,NCB
ccesmodule,Team module assigned,52,UCR
ccesmodule,Team module assigned,53,DAR
ccesmodule,Team module assigned,54,YLS
ccesmodule,Team module assigned,55,MCS
ccesmodule,Team module assigned,56,CSU
ccesmodule,Team module assigned,57,HUA
ccesmodule,Team module assigned,58,CHI
ccesmodule,Team module assigned,59,SDS_SUJ
ccesmodule,Team module assigned,98,skipped
ccesmodule,Team module assigned,99,not asked
CC24_300_1,Media use past 24 hrs - Used social media,1,selected
CC24_300_1,Media use past 24 hrs - Used social media,2,not selected
CC24_300_1,Media use past 24 hrs - Used social media,8,skipped
CC24_300_1,Media use past 24 hrs - Used social media,9,not asked
CC24_300_2,Media use past 24 hrs - Watched TV news,1,selected
CC24_300_2,Media use past 24 hrs - Watched TV news,2,not selected
CC24_300_2,Media use past 24 hrs - Watched TV news,8,skipped
CC24_300_2,Media use past 24 hrs - Watched TV news,9,not asked
CC24_300_3,Media use past 24 hrs - Read a newspaper,1,selected
CC24_300_3,Media use past 24 hrs - Read a newspaper,2,not selected
CC24_300_3,Media use past 24 hrs - Read a newspaper,8,skipped
CC24_300_3,Media use past 24 hrs - Read a newspaper,9,not asked
CC24_300_4,Media use past 24 hrs - Listened to radio news,1,selected
CC24_300_4,Media use past 24 hrs - Listened to radio news,2,not selected
CC24_300_4,Media use past 24 hrs - Listened to radio news,8,skipped
CC24_300_4,Media use past 24 hrs - Listened to radio news,9,not asked
CC24_300_5,Media use past 24 hrs - None of these,1,selected
CC24_300_5,Media use past 24 hrs - None of these,2,not selected
CC24_300_5,Media use past 24 hrs - None of these,8,skipped
CC24_300_5,Media use past 24 hrs - None of these,9,not asked
CC24_300a,Media use - TV news type,1,Local Newscast
CC24_300a,Media use - TV news type,2,National Newscast
CC24_300a,Media use - TV news type,3,Both
CC24_300a,Media use - TV news type,8,skipped
CC24_300a,Media use - TV news type,9,not asked
CC24_300c,Media use - Newspaper type,1,Print
CC24_300c,Media use - Newspaper type,2,Online
CC24_300c,Media use - Newspaper type,3,Both
CC24_300c,Media use - Newspaper type,8,skipped
CC24_300c,Media use - Newspaper type,9,not asked
CC24_300b_1,Media networks - ABC,1,selected
CC24_300b_1,Media networks - ABC,2,not selected
CC24_300b_1,Media networks - ABC,8,skipped
CC24_300b_1,Media networks - ABC,9,not asked
CC24_300b_2,Media networks - CBS,1,selected
CC24_300b_2,Media networks - CBS,2,not selected
CC24_300b_2,Media networks - CBS,8,skipped
CC24_300b_2,Media networks - CBS,9,not asked
CC24_300b_3,Media networks - NBC,1,selected
CC24_300b_3,Media networks - NBC,2,not selected
CC24_300b_3,Media networks - NBC,8,skipped
CC24_300b_3,Media networks - NBC,9,not asked
CC24_300b_4,Media networks - CNN,1,selected
CC24_300b_4,Media networks - CNN,2,not selected
CC24_300b_4,Media networks - CNN,8,skipped
CC24_300b_4,Media networks - CNN,9,not asked
CC24_300b_5,Media networks - Fox News,1,selected
CC24_300b_5,Media networks - Fox News,2,not selected
CC24_300b_5,Media networks - Fox News,8,skipped
CC24_300b_5,Media networks - Fox News,9,not asked
CC24_300b_6,Media networks - MSNBC,1,selected
CC24_300b_6,Media networks - MSNBC,2,not selected
CC24_300b_6,Media networks - MSNBC,8,skipped
CC24_300b_6,Media networks - MSNBC,9,not asked
CC24_300b_7,Media networks - PBS,1,selected
CC24_300b_7,Media networks - PBS,2,not selected
CC24_300b_7,Media networks - PBS,8,skipped
CC24_300b_7,Media networks - PBS,9,not asked
CC24_300b_8,Media networks - Other,1,selected
CC24_300b_8,Media networks - Other,2,not selected
CC24_300b_8,Media networks - Other,8,skipped
CC24_300b_8,Media networks - Other,9,not asked
CC24_300d_1,"Recent social media use - Posted a story, photo, video or link about politics",1,selected
CC24_300d_1,"Recent social media use - Posted a story, photo, video or link about politics",2,not selected
CC24_300d_1,"Recent social media use - Posted a story, photo, video or link about politics",8,skipped
CC24_300d_1,"Recent social media use - Posted a story, photo, video or link about politics",9,not asked
CC24_300d_2,Recent social media use - Posted a comment about politics,1,selected
CC24_300d_2,Recent social media use - Posted a comment about politics,2,not selected
CC24_300d_2,Recent social media use - Posted a comment about politics,8,skipped
CC24_300d_2,Recent social media use - Posted a comment about politics,9,not asked
CC24_300d_3,Recent social media use - Read a story or watched a video about politics,1,selected
CC24_300d_3,Recent social media use - Read a story or watched a video about politics,2,not selected
CC24_300d_3,Recent social media use - Read a story or watched a video about politics,8,skipped
CC24_300d_3,Recent social media use - Read a story or watched a video about politics,9,not asked
CC24_300d_4,Recent social media use - Followed a political event,1,selected
CC24_300d_4,Recent social media use - Followed a political event,2,not selected
CC24_300d_4,Recent social media use - Followed a political event,8,skipped
CC24_300d_4,Recent social media use - Followed a political event,9,not asked
CC24_300d_5,"Recent social media use - Forwarded a story, photo, video or link about politics to friends",1,selected
CC24_300d_5,"Recent social media use - Forwarded a story, photo, video or link about politics to friends",2,not selected
CC24_300d_5,"Recent social media use - Forwarded a story, photo, video or link about politics to friends",8,skipped
CC24_300d_5,"Recent social media use - Forwarded a story, photo, video or link about politics to friends",9,not asked
CC24_300d_6,Recent social media use - None of the above,1,selected
CC24_300d_6,Recent social media use - None of the above,2,not selected
CC24_300d_6,Recent social media use - None of the above,8,skipped
CC24_300d_6,Recent social media use - None of the above,9,not asked
CC24_301,National Economics,1,Gotten much better
CC24_301,National Economics,2,Gotten somewhat better
CC24_301,National Economics,3,Stayed about the same
CC24_301,National Economics,4,Gotten somewhat worse
CC24_301,National Economics,5,Gotten much worse
CC24_301,National Economics,6,Not sure
CC24_301,National Economics,8,skipped
CC24_301,National Economics,9,not asked
CC24_302,Household income,1,Increased a lot
CC24_302,Household income,2,Increased somewhat
CC24_302,Household income,3,Stayed about the same
CC24_302,Household income,4,Decreased somewhat
CC24_302,Household income,5,Decreased a lot
CC24_302,Household income,8,skipped
CC24_302,Household income,9,not asked
CC24_303,Price change in past year,1,Increased a lot
CC24_303,Price change in past year,2,Increased somewhat
CC24_303,Price change in past year,3,Stayed about the same
CC24_303,Price change in past year,4,Decreased somewhat
CC24_303,Price change in past year,5,Decreased a lot
CC24_303,Price change in past year,8,skipped
CC24_303,Price change in past year,9,not asked
CC24_305_1,Life Changes - Married,1,selected
CC24_305_1,Life Changes - Married,2,not selected
CC24_305_1,Life Changes - Married,8,skipped
CC24_305_1,Life Changes - Married,9,not asked
CC24_305_2,Life Changes - Lost a job,1,selected
CC24_305_2,Life Changes - Lost a job,2,not selected
CC24_305_2,Life Changes - Lost a job,8,skipped
CC24_305_2,Life Changes - Lost a job,9,not asked
CC24_305_3,Life Changes - Finished school,1,selected
CC24_305_3,Life Changes - Finished school,2,not selected
CC24_305_3,Life Changes - Finished school,8,skipped
CC24_305_3,Life Changes - Finished school,9,not asked
CC24_305_4,Life Changes - Retired,1,selected
CC24_305_4,Life Changes - Retired,2,not selected
CC24_305_4,Life Changes - Retired,8,skipped
CC24_305_4,Life Changes - Retired,9,not asked
CC24_305_5,Life Changes - Divorced,1,selected
CC24_305_5,Life Changes - Divorced,2,not selected
CC24_305_5,Life Changes - Divorced,8,skipped
CC24_305_5,Life Changes - Divorced,9,not asked
CC24_305_6,Life Changes - Had a child,1,selected
CC24_305_6,Life Changes - Had a child,2,not selected
CC24_305_6,Life Changes - Had a child,8,skipped
CC24_305_6,Life Changes - Had a child,9,not asked
CC24_305_7,Life Changes - Taken a new job,1,selected
CC24_305_7,Life Changes - Taken a new job,2,not selected
CC24_305_7,Life Changes - Taken a new job,8,skipped
CC24_305_7,Life Changes - Taken a new job,9,not asked
CC24_305_9,Life Changes - Been a victim of a crime,1,selected
CC24_305_9,Life Changes - Been a victim of a crime,2,not selected
CC24_305_9,Life Changes - Been a victim of a crime,8,skipped
CC24_305_9,Life Changes - Been a victim of a crime,9,not asked
CC24_305_10,Life Changes - Visited an emergency room,1,selected
CC24_305_10,Life Changes - Visited an emergency room,2,not selected
CC24_305_10,Life Changes - Visited an emergency room,8,skipped
CC24_305_10,Life Changes - Visited an emergency room,9,not asked
CC24_305_11,Life Changes - Visited a doctor for a regular examination,1,selected
CC24_305_11,Life Changes - Visited a doctor for a regular examination,2,not selected
CC24_305_11,Life Changes - Visited a doctor for a regular examination,8,skipped
CC24_305_11,Life Changes - Visited a doctor for a regular examination,9,not asked
CC24_305_12,Life Changes - Received a raise at work,1,selected
CC24_305_12,Life Changes - Received a raise at work,2,not selected
CC24_305_12,Life Changes - Received a raise at work,8,skipped
CC24_305_12,Life Changes - Received a raise at work,9,not asked
CC24_305_13,Life Changes - Had a pay cut at work,1,selected
CC24_305_13,Life Changes - Had a pay cut at work,2,not selected
CC24_305_13,Life Changes - Had a pay cut at work,8,skipped
CC24_305_13,Life Changes - Had a pay cut at work,9,not asked
CC24_305_14,Life Changes - None of the above,1,selected
CC24_305_14,Life Changes - None of the above,2,not selected
CC24_305_14,Life Changes - None of the above,8,skipped
CC24_305_14,Life Changes - None of the above,9,not asked
CC24_309e,General health,1,Excellent
CC24_309e,General health,2,Very good
CC24_309e,General health,3,Good
CC24_309e,General health,4,Fair
CC24_309e,General health,5,Poor
CC24_309e,General health,8,skipped
CC24_309e,General health,9,not asked
CC24_308a_1,Ukraine - Do not get involved,1,selected
CC24_308a_1,Ukraine - Do not get involved,2,not selected
CC24_308a_1,Ukraine - Do not get involved,8,skipped
CC24_308a_1,Ukraine - Do not get involved,9,not asked
CC24_308a_2,"Ukraine - Send food, medicine, and other humanitarian aid to Ukraine",1,selected
CC24_308a_2,"Ukraine - Send food, medicine, and other humanitarian aid to Ukraine",2,not selected
CC24_308a_2,"Ukraine - Send food, medicine, and other humanitarian aid to Ukraine",8,skipped
CC24_308a_2,"Ukraine - Send food, medicine, and other humanitarian aid to Ukraine",9,not asked
CC24_308a_3,Ukraine - Impose economic sanctions on Russia,1,selected
CC24_308a_3,Ukraine - Impose economic sanctions on Russia,2,not selected
CC24_308a_3,Ukraine - Impose economic sanctions on Russia,8,skipped
CC24_308a_3,Ukraine - Impose economic sanctions on Russia,9,not asked
CC24_308a_4,Ukraine - Provide arms to Ukraine,1,selected
CC24_308a_4,Ukraine - Provide arms to Ukraine,2,not selected
CC24_308a_4,Ukraine - Provide arms to Ukraine,8,skipped
CC24_308a_4,Ukraine - Provide arms to Ukraine,9,not asked
CC24_308a_5,Ukraine - Send military support staff to Ukraine (non-combat),1,selected
CC24_308a_5,Ukraine - Send military support staff to Ukraine (non-combat),2,not selected
CC24_308a_5,Ukraine - Send military support staff to Ukraine (non-combat),8,skipped
CC24_308a_5,Ukraine - Send military support staff to Ukraine (non-combat),9,not asked
CC24_308a_6,Ukraine - Send significant force to fight Russia,1,selected
CC24_308a_6,Ukraine - Send significant force to fight Russia,2,not selected
CC24_308a_6,Ukraine - Send significant force to fight Russia,8,skipped
CC24_308a_6,Ukraine - Send significant force to fight Russia,9,not asked
CC24_308a_7,Ukraine - Negotiate a peace accord between Russia and Ukraine,1,selected
CC24_308a_7,Ukraine - Negotiate a peace accord between Russia and Ukraine,2,not selected
CC24_308a_7,Ukraine - Negotiate a peace accord between Russia and Ukraine,8,skipped
CC24_308a_7,Ukraine - Negotiate a peace accord between Russia and Ukraine,9,not asked
CC24_308a_8,"Ukraine - Send aid to the affected communities after the conflict to help rebuild destroyed schools, hospitals, and roads",1,selected
CC24_308a_8,"Ukraine - Send aid to the affected communities after the conflict to help rebuild destroyed schools, hospitals, and roads",2,not selected
CC24_308a_8,"Ukraine - Send aid to the affected communities after the conflict to help rebuild destroyed schools, hospitals, and roads",8,skipped
CC24_308a_8,"Ukraine - Send aid to the affected communities after the conflict to help rebuild destroyed schools, hospitals, and roads",9,not asked
CC24_308b_1,Israel/Gaza - Do not get involved,1,selected
CC24_308b_1,Israel/Gaza - Do not get involved,2,not selected
CC24_308b_1,Israel/Gaza - Do not get involved,8,skipped
CC24_308b_1,Israel/Gaza - Do not get involved,9,not asked
CC24_308b_2,"Israel/Gaza - Send food, medicine and other aid to the communities affected",1,selected
CC24_308b_2,"Israel/Gaza - Send food, medicine and other aid to the communities affected",2,not selected
CC24_308b_2,"Israel/Gaza - Send food, medicine and other aid to the communities affected",8,skipped
CC24_308b_2,"Israel/Gaza - Send food, medicine and other aid to the communities affected",9,not asked
CC24_308b_3,Israel/Gaza - Provide arms to Israel,1,selected
CC24_308b_3,Israel/Gaza - Provide arms to Israel,2,not selected
CC24_308b_3,Israel/Gaza - Provide arms to Israel,8,skipped
CC24_308b_3,Israel/Gaza - Provide arms to Israel,9,not asked
CC24_308b_4,Israel/Gaza - Provide arms to Hamas,1,selected
CC24_308b_4,Israel/Gaza - Provide arms to Hamas,2,not selected
CC24_308b_4,Israel/Gaza - Provide arms to Hamas,8,skipped
CC24_308b_4,Israel/Gaza - Provide arms to Hamas,9,not asked
CC24_308b_5,Israel/Gaza - Send the US Navy and troops to the region to keep the hostility from escalating,1,selected
CC24_308b_5,Israel/Gaza - Send the US Navy and troops to the region to keep the hostility from escalating,2,not selected
CC24_308b_5,Israel/Gaza - Send the US Navy and troops to the region to keep the hostility from escalating,8,skipped
CC24_308b_5,Israel/Gaza - Send the US Navy and troops to the region to keep the hostility from escalating,9,not asked
CC24_308b_6,Israel/Gaza - Send military support staff (non-combat) to Israel,1,selected
CC24_308b_6,Israel/Gaza - Send military support staff (non-combat) to Israel,2,not selected
CC24_308b_6,Israel/Gaza - Send military support staff (non-combat) to Israel,8,skipped
CC24_308b_6,Israel/Gaza - Send military support staff (non-combat) to Israel,9,not asked
CC24_308b_7,Israel/Gaza - Send military support staff (non-combat) to Gaza,1,selected
CC24_308b_7,Israel/Gaza - Send military support staff (non-combat) to Gaza,2,not selected
CC24_308b_7,Israel/Gaza - Send military support staff (non-combat) to Gaza,8,skipped
CC24_308b_7,Israel/Gaza - Send military support staff (non-combat) to Gaza,9,not asked
CC24_308b_8,Israel/Gaza - Negotiate a peace settlement,1,selected
CC24_308b_8,Israel/Gaza - Negotiate a peace settlement,2,not selected
CC24_308b_8,Israel/Gaza - Negotiate a peace settlement,8,skipped
CC24_308b_8,Israel/Gaza - Negotiate a peace settlement,9,not asked
CC24_308b_9,Israel/Gaza - Send aid to the affected communities after the conflict,1,selected
CC24_308b_9,Israel/Gaza - Send aid to the affected communities after the conflict,2,not selected
CC24_308b_9,Israel/Gaza - Send aid to the affected communities after the conflict,8,skipped
CC24_308b_9,Israel/Gaza - Send aid to the affected communities after the conflict,9,not asked
CC24_309d_1,Emergency expense - Put it on my credit card and pay it off in full at the next statement,1,selected
CC24_309d_1,Emergency expense - Put it on my credit card and pay it off in full at the next statement,2,not selected
CC24_309d_1,Emergency expense - Put it on my credit card and pay it off in full at the next statement,8,skipped
CC24_309d_1,Emergency expense - Put it on my credit card and pay it off in full at the next statement,9,not asked
CC24_309d_2,Emergency expense - Put it on my credit card and pay it off over time,1,selected
CC24_309d_2,Emergency expense - Put it on my credit card and pay it off over time,2,not selected
CC24_309d_2,Emergency expense - Put it on my credit card and pay it off over time,8,skipped
CC24_309d_2,Emergency expense - Put it on my credit card and pay it off over time,9,not asked
CC24_309d_3,Emergency expense - With the money currently in my checking/savings account or with cash,1,selected
CC24_309d_3,Emergency expense - With the money currently in my checking/savings account or with cash,2,not selected
CC24_309d_3,Emergency expense - With the money currently in my checking/savings account or with cash,8,skipped
CC24_309d_3,Emergency expense - With the money currently in my checking/savings account or with cash,9,not asked
CC24_309d_4,Emergency expense - Using money from a bank loan or line of credit,1,selected
CC24_309d_4,Emergency expense - Using money from a bank loan or line of credit,2,not selected
CC24_309d_4,Emergency expense - Using money from a bank loan or line of credit,8,skipped
CC24_309d_4,Emergency expense - Using money from a bank loan or line of credit,9,not asked
CC24_309d_5,Emergency expense - By borrowing from a friend or family member,1,selected
CC24_309d_5,Emergency expense - By borrowing from a friend or family member,2,not selected
CC24_309d_5,Emergency expense - By borrowing from a friend or family member,8,skipped
CC24_309d_5,Emergency expense - By borrowing from a friend or family member,9,not asked
CC24_309d_6,"Emergency expense - Using a payday loan, deposit advance, or overdraft",1,selected
CC24_309d_6,"Emergency expense - Using a payday loan, deposit advance, or overdraft",2,not selected
CC24_309d_6,"Emergency expense - Using a payday loan, deposit advance, or overdraft",8,skipped
CC24_309d_6,"Emergency expense - Using a payday loan, deposit advance, or overdraft",9,not asked
CC24_309d_7,Emergency expense - By selling something,1,selected
CC24_309d_7,Emergency expense - By selling something,2,not selected
CC24_309d_7,Emergency expense - By selling something,8,skipped
CC24_309d_7,Emergency expense - By selling something,9,not asked
CC24_309d_8,Emergency expense - I wouldn't be able to pay for the expense right now,1,selected
CC24_309d_8,Emergency expense - I wouldn't be able to pay for the expense right now,2,not selected
CC24_309d_8,Emergency expense - I wouldn't be able to pay for the expense right now,8,skipped
CC24_309d_8,Emergency expense - I wouldn't be able to pay for the expense right now,9,not asked
CC24_309d_9,Emergency expense - Other,1,selected
CC24_309d_9,Emergency expense - Other,2,not selected
CC24_309d_9,Emergency expense - Other,8,skipped
CC24_309d_9,Emergency expense - Other,9,not asked
CC24_309d_t,Emergency expense - Open,NA,NA
CC24_310a,Know Party in Government -- U.S. House of Representatives,1,Republicans
CC24_310a,Know Party in Government -- U.S. House of Representatives,2,Democrats
CC24_310a,Know Party in Government -- U.S. House of Representatives,3,Neither
CC24_310a,Know Party in Government -- U.S. House of Representatives,4,Not sure
CC24_310a,Know Party in Government -- U.S. House of Representatives,8,skipped
CC24_310a,Know Party in Government -- U.S. House of Representatives,9,not asked
CC24_310b,Know Party in Government -- U.S. Senate,1,Republicans
CC24_310b,Know Party in Government -- U.S. Senate,2,Democrats
CC24_310b,Know Party in Government -- U.S. Senate,3,Neither
CC24_310b,Know Party in Government -- U.S. Senate,4,Not sure
CC24_310b,Know Party in Government -- U.S. Senate,8,skipped
CC24_310b,Know Party in Government -- U.S. Senate,9,not asked
CC24_310c,Know Party in Government -- $inputstate State Senate,1,Republicans
CC24_310c,Know Party in Government -- $inputstate State Senate,2,Democrats
CC24_310c,Know Party in Government -- $inputstate State Senate,3,Neither
CC24_310c,Know Party in Government -- $inputstate State Senate,4,Not sure
CC24_310c,Know Party in Government -- $inputstate State Senate,8,skipped
CC24_310c,Know Party in Government -- $inputstate State Senate,9,not asked
CC24_310d,Know Party in Government -- $LowerChamberName,1,Republicans
CC24_310d,Know Party in Government -- $LowerChamberName,2,Democrats
CC24_310d,Know Party in Government -- $LowerChamberName,3,Neither
CC24_310d,Know Party in Government -- $LowerChamberName,4,Not sure
CC24_310d,Know Party in Government -- $LowerChamberName,8,skipped
CC24_310d,Know Party in Government -- $LowerChamberName,9,not asked
CC24_311a,Know Party of Representative -- $CurrentGovName,1,Never Heard of Person
CC24_311a,Know Party of Representative -- $CurrentGovName,2,Republican
CC24_311a,Know Party of Representative -- $CurrentGovName,3,Democrat
CC24_311a,Know Party of Representative -- $CurrentGovName,4,Other Party / Independent
CC24_311a,Know Party of Representative -- $CurrentGovName,5,Not sure
CC24_311a,Know Party of Representative -- $CurrentGovName,8,skipped
CC24_311a,Know Party of Representative -- $CurrentGovName,9,not asked
CC24_311b,Know Party of Representative -- $CurrentSen1Name,1,Never Heard of Person
CC24_311b,Know Party of Representative -- $CurrentSen1Name,2,Republican
CC24_311b,Know Party of Representative -- $CurrentSen1Name,3,Democrat
CC24_311b,Know Party of Representative -- $CurrentSen1Name,4,Other Party / Independent
CC24_311b,Know Party of Representative -- $CurrentSen1Name,5,Not sure
CC24_311b,Know Party of Representative -- $CurrentSen1Name,8,skipped
